#Position (bp)	insert size
6876.0	16756.318192245926
20627.0	13572.056224899598
34378.0	19615.146272855134
48129.0	12996.085404101326
61880.0	33841.22832260507
75631.0	8661.941890719861
89382.0	10807.110213078618
103133.0	11648.920194309507
116884.0	23805.152803308825
130635.0	17311.224994060347
144386.0	20960.61800486618
158137.0	15511.250551605786
171888.0	14627.346314325452
185639.0	10448.000238265427
199390.0	11262.131131849725
213141.0	15162.364948453609
226892.0	9875.592772253214
240643.0	11725.607008466604
254394.0	12554.391499409681
268145.0	10702.17899447223
281896.0	7095.082479141835
295647.0	30872.82007759457
309398.0	9359.454118229038
323149.0	13978.224324324325
336900.0	16283.68344237544
350651.0	12132.644510828977
364402.0	18430.93968575773
378153.0	10724.447029702971
391904.0	15325.256359102244
405655.0	10731.509290953545
419406.0	12530.501213003396
433157.0	10141.552970297029
446908.0	10356.612071005917
460659.0	12486.182018618325
474410.0	7997.253842077372
488161.0	10845.07896051974
501912.0	20328.363701578193
515663.0	16005.575268817205
529414.0	5716.741839023175
543165.0	7923.782165921511
556916.0	12103.323678861789
570667.0	6655.941262848752
584418.0	15832.76050535567
598169.0	8641.060407752328
611920.0	11565.60362567369
625671.0	11303.428862305931
639422.0	11880.550845253576
653173.0	8893.749416947396
666924.0	14642.255513307984
680675.0	9893.159786304032
694426.0	10461.899875156056
708177.0	12648.840425531915
721928.0	10483.278646500898
735679.0	8319.419416941693
749430.0	4958.282338308458
763181.0	6759.966334500404
776932.0	15625.803801348866
790683.0	7039.648600883653
804434.0	9941.741234756097
818185.0	7300.0925559015
831936.0	9339.654778110536
845687.0	15178.890706126687
859438.0	11798.568622315348
873189.0	8383.759559979047
886940.0	11019.61046373365
900691.0	9841.400637619554
914442.0	10464.261085100523
928193.0	8372.365606529693
941944.0	5312.57481910275
955695.0	8212.212306872669
969446.0	19251.827488687784
983197.0	7192.869945355192
996948.0	9924.145967741935
1010699.0	6993.604276589836
1024450.0	10967.191123439667
1038201.0	9781.603120567375
1051952.0	8067.478678339452
1065703.0	10405.676661264182
1079454.0	8120.483976992605
1093205.0	10682.530451866405
1106956.0	6254.922141823445
1120707.0	4874.180355630821
1134458.0	9777.518610421836
1148209.0	7590.680631120784
1161960.0	13578.082267926626
1175711.0	6627.588944428109
1189462.0	12211.350710900473
1203213.0	8618.054369484771
1216964.0	9576.079616036137
1230715.0	14244.7486678508
1244466.0	6475.558445353595
1258217.0	13378.774067890929
1271968.0	8996.1757489301
1285719.0	6452.637529137529
1299470.0	7303.549956559514
1313221.0	8051.17189384801
1326972.0	8364.30906990179
1340723.0	11300.403633004926
1354474.0	11864.981881940386
1368225.0	8443.083857442349
1381976.0	3721.77442002442
1395727.0	5184.171010248902
1409478.0	3942.56245912361
1423229.0	5397.202115158637
1436980.0	7620.755771905424
1450731.0	10702.490698383654
1464482.0	8485.836973239004
1478233.0	10100.998467198038
1491984.0	11514.334100057504
1505735.0	3980.485375275938
1519486.0	7784.149438202247
1533237.0	8880.395506946497
1546988.0	5582.884422110553
1560739.0	13807.123595505618
1574490.0	8687.237028301886
1588241.0	6941.991137894363
1601992.0	6984.417119131268
1615743.0	2721.931152647975
1629494.0	2318.8401360544217
1643245.0	6721.651582278481
1656996.0	5052.160663952396
1670747.0	10157.992033142129
