#Read position (bp)	Clipping profile
0.0	4.582168154783028
1.0	1.1222621261373797
2.0	1.1001178190696552
3.0	1.0720115831760046
4.0	1.0484477692449643
5.0	1.01636691413403
6.0	0.9993328317742417
7.0	0.9808792425511378
8.0	0.9675358780359702
9.0	0.9470949792042246
10.0	0.9252345735091628
11.0	0.9082004911493746
12.0	0.8886112964356183
13.0	0.8710094113305037
14.0	0.8536914275980525
15.0	0.8352378383749486
16.0	0.8227461779777704
17.0	0.8096867148352662
18.0	0.7980467585560777
19.0	0.7747668459977004
20.0	0.7634107910911749
21.0	0.7565971581472596
22.0	0.7435376950047553
23.0	0.7372918648061664
24.0	0.7279231195082828
25.0	0.7140119522477891
26.0	0.7077661220492001
27.0	0.7003846863599585
28.0	0.686757420472128
29.0	0.6782403792922339
30.0	0.9127429131119849
31.0	0.7878263091402047
32.0	0.6754013655656025
33.0	0.7142958536204522
34.0	0.7514869334393232
35.0	0.7313299359802404
36.0	0.9561798231294448
37.0	0.7963433503200988
38.0	0.7892458160035204
39.0	0.6961261657700115
40.0	0.821610572487118
41.0	0.7250841057816515
42.0	0.7458089059860604
43.0	0.6416171022186892
44.0	0.6836345053728334
45.0	0.6813632943915283
46.0	0.6603545928144563
47.0	0.6776725765469076
48.0	0.6285576390761849
49.0	0.7191221769557256
50.0	0.7279231195082828
51.0	0.7313299359802404
52.0	0.6901642369440856
53.0	0.6277059349581955
54.0	0.6606384941871194
55.0	0.7001007849872954
56.0	0.6282737377035218
57.0	0.6101040498530811
58.0	0.6674521271310346
59.0	0.701236390477948
60.0	0.6691555353670134
61.0	0.684486209490823
62.0	0.6118074580890599
63.0	0.6166337814243331
64.0	0.6135108663250387
65.0	0.6339517651567845
66.0	0.6311127514301531
67.0	0.6674521271310346
68.0	0.6257186253495536
69.0	0.6047099237724815
70.0	0.6353712720201002
71.0	0.6126591622070493
72.0	0.6152142745610175
73.0	0.6129430635797124
74.0	0.6169176827969963
75.0	0.6186210910329751
76.0	0.6231635129955854
77.0	0.6271381322128692
78.0	0.636790778883416
79.0	0.637074680256079
80.0	0.6407653981006998
81.0	0.6419010035913524
82.0	0.6478629324172782
83.0	0.6436044118273312
84.0	0.6549604667338567
85.0	0.6620580010504351
86.0	0.653540959870541
87.0	0.6569477763424986
88.0	0.6580833818331512
89.0	0.6694394367396767
90.0	0.6765369710562551
91.0	0.6802276889008758
92.0	0.6824988998821809
93.0	0.6878930259627806
94.0	0.6927193492980538
95.0	0.7083339247945264
96.0	0.7208255851917044
97.0	0.7284909222536091
98.0	0.740698681278124
99.0	0.7435376950047553
100.0	0.7645463965818275
101.0	0.7764702542336792
102.0	0.7920848297301518
103.0	0.8034408846366772
104.0	0.8125257285618976
105.0	0.821610572487118
106.0	0.8315471205303278
107.0	0.8423353726915269
108.0	0.8596533564239783
109.0	0.8764035374111033
110.0	0.892302014280239
111.0	0.9099038993853534
112.0	0.9249506721364998
113.0	0.9405652476329722
114.0	0.9547603162661291
115.0	0.9769046233338537
116.0	0.9956421139296209
117.0	1.0183542237426717
118.0	1.0359561088477862
119.0	1.0598038241514898
120.0	1.0788252161199199
121.0	1.0822320325918777
122.0	1.0544096980708901
123.0	0.9831504535324429
124.0	0.6461595241812994
