#Position (bp)	mapping quality
6876.0	59.98841618277892
20627.0	59.99671658714036
34378.0	59.99629185486081
48129.0	59.996425736920436
61880.0	59.55157881012095
75631.0	59.9930407435428
89382.0	59.99420569455948
103133.0	59.96982949725558
116884.0	59.98666225097229
130635.0	59.905775827760216
144386.0	59.99006213017415
158137.0	59.99534465241202
171888.0	59.99373260783145
185639.0	59.992353015661976
199390.0	59.99583671215402
213141.0	59.99238355522291
226892.0	59.993522445342805
240643.0	59.99559217339301
254394.0	59.99151088034788
268145.0	59.99003054690597
281896.0	59.99626960346261
295647.0	59.790793064323275
309398.0	59.968396170942434
323149.0	59.98941048765608
336900.0	59.99644191138589
350651.0	59.99631163455318
364402.0	59.99602257096477
378153.0	59.99433637449923
391904.0	59.99215036605515
405655.0	59.99260285840066
419406.0	59.99540991051979
433157.0	59.30036692534418
446908.0	59.403534040842395
460659.0	59.996846702912094
474410.0	59.98863970084188
488161.0	59.99582437395947
501912.0	59.99195211429849
515663.0	59.993090235896446
529414.0	59.9963141805548
543165.0	59.99368984525941
556916.0	59.985305932380136
570667.0	59.99246523647401
584418.0	59.61950346575262
598169.0	59.6697703775573
611920.0	59.99373077871221
625671.0	59.89229644396812
639422.0	59.99271223823681
653173.0	59.978400716159385
666924.0	59.993606680312396
680675.0	59.99733189896747
694426.0	59.59713421886764
708177.0	59.994418474327716
721928.0	59.99579474228512
735679.0	59.319193360321414
749430.0	59.989541637217634
763181.0	59.72347530371927
776932.0	58.70644412458605
790683.0	59.77645415956142
804434.0	57.4892533988546
818185.0	58.85493084448958
831936.0	59.99372187216704
845687.0	59.99622002291855
859438.0	59.99382221086039
873189.0	59.992143217521495
886940.0	59.994783916523005
900691.0	59.988707035654365
914442.0	59.990861848988516
928193.0	59.99226168653011
941944.0	59.99501165751392
955695.0	59.990669867647746
969446.0	59.95598104170506
983197.0	59.99071841084441
996948.0	59.96564321494901
1010699.0	59.99428480422663
1024450.0	59.9900402692108
1038201.0	59.986518246333844
1051952.0	59.99285046650037
1065703.0	59.99226397319014
1079454.0	59.98985783602639
1093205.0	59.99263788404496
1106956.0	59.99634059443471
1120707.0	59.99501702936001
1134458.0	59.99413276028655
1148209.0	59.99416572988445
1161960.0	59.97697027309311
1175711.0	59.995331536332245
1189462.0	59.994680592931445
1203213.0	59.99491827484657
1216964.0	59.9904142367513
1230715.0	59.98223332081576
1244466.0	59.99595580336685
1258217.0	59.98453718848048
1271968.0	59.98408694308248
1285719.0	59.9925038339487
1299470.0	59.94574400699236
1313221.0	59.98996209377565
1326972.0	59.993340784073055
1340723.0	59.990033228840716
1354474.0	59.99065127588725
1368225.0	59.99648563069568
1381976.0	59.99264565345246
1395727.0	59.99523429929474
1409478.0	59.64039194273626
1423229.0	59.99354489485659
1436980.0	59.99087637340215
1450731.0	59.993389798158134
1464482.0	59.99561316730942
1478233.0	59.95404608330411
1491984.0	59.99631201662325
1505735.0	59.99482126879661
1519486.0	59.99330908088562
1533237.0	59.9908559995567
1546988.0	59.99565651296782
1560739.0	59.97220296745602
1574490.0	59.986432373519655
1588241.0	58.738270124337035
1601992.0	59.993206503683
1615743.0	59.993253537127245
1629494.0	58.74695373306601
1643245.0	59.98490038742359
1656996.0	59.99267489611067
1670747.0	59.99604600109129
1684498.0	59.98905641330935
1698249.0	59.99223728667493
1712000.0	59.99348104757578
1725751.0	59.99290838497339
1739502.0	59.99448038151474
1753253.0	59.97449738778974
1767004.0	59.99709418507394
1780755.0	59.99699168867735
1794506.0	59.994885082438614
1808257.0	59.99570546534858
1822008.0	59.99381594228765
1835759.0	59.98208997600069
1849510.0	59.9889197051513
1863261.0	59.99315575882505
1877012.0	59.04928629421194
1890763.0	59.9906228512542
1904514.0	58.03291789857893
1918265.0	58.78150228857335
1932016.0	59.655932736104624
1945767.0	59.94422256870388
1959518.0	55.58761856587107
1973269.0	59.60824189444183
1987020.0	59.99495718982637
2000771.0	59.99028962492758
2014522.0	59.803101803552096
2028273.0	59.99338455944885
2042024.0	59.995152270289076
2055775.0	59.99487017461166
2069526.0	59.97563042075059
2083277.0	59.631102182938264
2097028.0	59.99684276533377
2110779.0	59.99606671392513
2124530.0	59.477988795245516
2138281.0	59.98118957684708
2152032.0	59.994598135297856
2165783.0	59.99011122965257
2179534.0	59.99677470082408
2193285.0	59.994874084486284
2207036.0	59.99693073465394
2220787.0	59.99174522207879
2234538.0	59.98511221892313
2248289.0	59.99415448139188
2262040.0	59.994534336217015
2275791.0	59.99352656083334
2289542.0	59.98512823972527
2303293.0	59.96118832727841
2317044.0	59.993014061185015
2330795.0	59.9032359697704
2344546.0	59.789877613398005
2358297.0	59.98291032643404
2372048.0	59.98404293113442
2385799.0	59.99039348381588
2399550.0	59.985028424446114
2413301.0	59.98138929815031
2427052.0	59.99133637164974
2440803.0	59.99178621853649
2454554.0	59.99613699585431
2468305.0	59.109128215533225
2482056.0	59.51309351437614
2495807.0	55.70402233403523
2509558.0	59.99675229162166
2523309.0	59.9950470303338
2537060.0	59.994672491307
2550811.0	59.55960210017682
2564562.0	59.98949649786183
2578313.0	59.96677092585943
2592064.0	59.995584993277795
2605815.0	59.995031905108284
2619566.0	59.99188942069729
2633317.0	59.990149689334984
2647068.0	59.992602309285004
2660819.0	59.92801943033782
2674570.0	59.22360736280507
2688321.0	59.99464411923914
2702072.0	59.969026705539356
2715823.0	59.99273085149633
2729574.0	59.99017965699078
2743325.0	59.99416877847779
2757076.0	59.996132785214975
2770827.0	59.97460097207445
2784578.0	59.992435011474036
2798329.0	59.99661453972662
2812080.0	59.995232583521506
2825831.0	59.99288603151852
2839582.0	59.69425015807293
2853333.0	59.992139969117694
2867084.0	59.99594674481648
2880835.0	59.99188397959165
2894586.0	59.9966345758212
2908337.0	59.71123643375782
2922088.0	59.98074166268461
2935839.0	59.991094583136736
2949590.0	59.99451619323224
2963341.0	59.99570335745195
2977092.0	59.99735355626218
2990843.0	59.99299439498496
3004594.0	59.99574418320176
3018345.0	59.995388373590494
3032096.0	59.991449074149855
3045847.0	59.996045295116296
3059598.0	59.83262352038485
3073349.0	59.991599989546735
3087100.0	59.96267628269778
3100851.0	59.99198726818064
3114602.0	59.993119857724686
3128353.0	59.99140338294844
3142104.0	59.99769786152505
3155855.0	59.99635688620522
3169606.0	59.98952553015825
3183357.0	59.99121469707253
3197108.0	59.98799635832356
3210859.0	59.98904051793849
3224610.0	59.99427805205593
3238361.0	59.98997062550232
3252112.0	59.98436918688768
3265863.0	59.996340941494275
3279614.0	59.993167353013824
3293365.0	59.99114357846888
3307116.0	59.6313987249617
3320867.0	59.99237907368319
3334618.0	58.94152018921701
3348369.0	59.98055176336126
3362120.0	59.93759041819467
3375871.0	59.952309227296645
3389622.0	59.99605881065627
3403373.0	59.99133892513203
3417124.0	59.988733802220835
3430875.0	59.997255188491636
3444626.0	58.85339860549966
3458377.0	59.99625677703817
3472128.0	58.91691768988874
3485879.0	59.993326396322765
3499630.0	59.994802584895794
3513381.0	59.651297888032616
3527132.0	59.99162201029975
3540883.0	59.99230795853739
3554634.0	59.99599949593649
3568385.0	59.995746287045634
3582136.0	59.99549773188221
3595887.0	59.79049091330479
3609638.0	59.99116554161121
3623389.0	59.993805927232906
3637140.0	59.994486428561174
3650891.0	59.932037074722956
3664642.0	59.99211375714893
3678393.0	59.99323037710729
3692144.0	59.99692663819479
3705895.0	59.99261954090577
3719646.0	59.96057013063565
3733397.0	59.99675200648815
3747148.0	59.99664898073164
3760899.0	59.938214708775874
3774650.0	59.99542784578066
3788401.0	59.63227182711662
3802152.0	59.996890961153014
3815903.0	59.98391568691124
3829654.0	59.99432825935545
3843405.0	59.994929962467985
3857156.0	59.960180098544484
3870907.0	59.99164822284359
3884658.0	57.871715700061664
3898409.0	59.9938949767557
3912160.0	59.99557023840861
3925911.0	59.99614688392879
3939662.0	59.99519716673966
3953413.0	59.925123814097255
3967164.0	59.992416584439574
3980915.0	59.99257671893056
3994666.0	59.99203129424532
4008417.0	59.99241198341453
4022168.0	59.99640385138935
4035919.0	59.96421455855584
4049670.0	59.99238795281614
4063421.0	59.98862561976817
4077172.0	59.99678448991862
4090923.0	59.12524530471939
4104674.0	59.99283977985926
4118425.0	59.77322215399119
4132176.0	59.991578666053535
4145927.0	59.99353841791485
4159678.0	59.356779556203186
4173429.0	59.66199499282368
4187180.0	59.85741872722783
4200931.0	59.98935831383073
4214682.0	59.98788146904712
4228433.0	59.83411120158358
4242184.0	59.89482608934478
4255935.0	59.995206728570835
4269686.0	59.996890994511936
4283437.0	59.96740982342429
4297188.0	59.995447092678724
4310939.0	59.98393439556638
4324690.0	15.023192543906907
4338441.0	59.99453787448977
4352192.0	59.9956434824377
4365943.0	59.953760672431194
4379694.0	59.9924646473695
4393445.0	59.996057502264854
4407196.0	59.99530295270004
4420947.0	59.99488740079153
4434698.0	59.99119163932956
4448449.0	59.9954300378662
4462200.0	59.989083141609264
4475951.0	59.99483010281909
4489702.0	59.99351091070436
4503453.0	59.99348286100033
4517204.0	59.99142230402029
4530955.0	59.99531737471627
4544706.0	59.98518370346017
4558457.0	59.99209947518859
4572208.0	59.99204495888256
4585959.0	59.994098092142096
4599710.0	59.99721280364162
4613461.0	59.99277541959732
4627212.0	59.98660868080195
4640963.0	59.99276136663553
4654714.0	59.99362501791749
4668465.0	59.99715207826513
4682216.0	59.86933082521041
4695967.0	59.73060780360258
4709718.0	59.993235583635624
4723469.0	59.991407048079836
4737220.0	59.94325087849885
4750971.0	59.995008167124574
4764722.0	59.66434767045285
4778473.0	59.386941514989154
4792224.0	59.93115426795731
4805975.0	59.994482501845326
4819726.0	59.990314143942385
4833477.0	59.99454527814678
4847228.0	59.99362160823258
4860979.0	59.99496880398846
4874730.0	59.99292967084922
4888481.0	58.64193244724495
4902232.0	59.991780378498376
4915983.0	59.992063813284545
4929734.0	59.97569082893763
4943485.0	59.99535822176227
4957236.0	59.653356529623764
4970987.0	59.99133983128577
4984738.0	59.992886895928464
4998489.0	59.99330064415173
5012240.0	59.99668074303799
5025991.0	59.97829300032589
5039742.0	59.993240082210505
5053493.0	59.99315998573646
5067244.0	59.96430657918805
5076613.5	59.99119396537401
5083489.0	0.0
5094746.0	59.064288333061754
5108497.0	57.22352828832068
5122248.0	59.5214597358498
5135999.0	0.0
5149750.0	40.0
5163501.0	0.0
5177252.0	0.0
5191003.0	0.0
5204754.0	0.0
5218505.0	0.0
5232256.0	19.95714890272656
5246007.0	0.0
5255740.0	0.0
5262615.5	20.971284598321922
5273509.0	19.951629863301786
5287260.0	0.0
5301011.0	0.0
5314762.0	0.0
5328513.0	0.0
5342264.0	19.446285266615106
5356015.0	0.0
5369766.0	0.0
5383517.0	45.3805113750755
5397268.0	0.0
5411019.0	0.0
5421994.0	0.0
5428869.5	51.54827661287814
5438521.0	56.7098518734279
5452272.0	57.363212497684565
5464002.0	57.76234024685638
5470877.5	30.79249244722612
5479774.0	36.55112107623319
5493417.0	46.0
