#Insert size (bp)	insert size
391.0	2656.0
392.0	2589.0
393.0	2705.0
394.0	2706.0
395.0	2667.0
396.0	2705.0
397.0	2712.0
398.0	2717.0
399.0	2707.0
400.0	2618.0
401.0	2589.0
402.0	2578.0
403.0	2635.0
404.0	2496.0
405.0	2605.0
406.0	2552.0
407.0	2646.0
408.0	2608.0
409.0	2519.0
410.0	2443.0
411.0	2525.0
412.0	2485.0
413.0	2457.0
414.0	2481.0
415.0	2408.0
416.0	2487.0
417.0	2433.0
418.0	2491.0
419.0	2474.0
420.0	2402.0
421.0	2417.0
422.0	2298.0
423.0	2306.0
424.0	2341.0
425.0	2339.0
426.0	2320.0
427.0	2279.0
428.0	2257.0
429.0	2349.0
430.0	2336.0
431.0	2165.0
432.0	2099.0
433.0	2189.0
434.0	2146.0
435.0	2115.0
436.0	2151.0
437.0	2131.0
438.0	2168.0
439.0	2202.0
440.0	2097.0
441.0	2212.0
442.0	2137.0
443.0	2115.0
444.0	1978.0
445.0	2028.0
446.0	2043.0
447.0	2008.0
448.0	2121.0
449.0	2015.0
450.0	2032.0
451.0	1960.0
452.0	1905.0
453.0	2045.0
454.0	1897.0
455.0	1896.0
456.0	1889.0
457.0	1880.0
458.0	1902.0
459.0	1974.0
460.0	2048.0
461.0	1860.0
462.0	1818.0
463.0	1823.0
464.0	1731.0
465.0	1757.0
466.0	1795.0
467.0	1735.0
468.0	1789.0
469.0	1715.0
470.0	1836.0
471.0	1757.0
472.0	1717.0
473.0	1814.0
474.0	1756.0
475.0	1616.0
476.0	1725.0
477.0	1692.0
478.0	1564.0
479.0	1660.0
480.0	1722.0
481.0	1620.0
482.0	1610.0
483.0	1560.0
484.0	1586.0
485.0	1570.0
486.0	1591.0
487.0	1571.0
488.0	1530.0
489.0	1526.0
490.0	1566.0
491.0	1593.0
492.0	1567.0
493.0	1553.0
494.0	1484.0
495.0	1358.0
496.0	1451.0
497.0	1493.0
498.0	1435.0
499.0	1489.0
500.0	1462.0
501.0	1481.0
502.0	1497.0
503.0	1344.0
504.0	1455.0
505.0	1383.0
506.0	1387.0
507.0	1467.0
508.0	1342.0
509.0	1394.0
510.0	1368.0
511.0	1469.0
512.0	1318.0
513.0	1347.0
514.0	1327.0
515.0	1341.0
516.0	1357.0
517.0	1300.0
518.0	1267.0
519.0	1273.0
520.0	1272.0
521.0	1273.0
522.0	1341.0
523.0	1256.0
524.0	1169.0
525.0	1293.0
526.0	1226.0
527.0	1234.0
528.0	1140.0
529.0	1180.0
530.0	1167.0
531.0	1252.0
532.0	1247.0
533.0	1123.0
534.0	1239.0
535.0	1232.0
536.0	1105.0
537.0	1124.0
538.0	1120.0
539.0	1162.0
540.0	1119.0
541.0	1148.0
542.0	1104.0
543.0	1169.0
544.0	1103.0
545.0	1066.0
546.0	1126.0
547.0	1062.0
548.0	1026.0
549.0	1096.0
550.0	1045.0
551.0	1074.0
552.0	1074.0
553.0	1011.0
554.0	1020.0
555.0	1000.0
556.0	970.0
557.0	965.0
558.0	926.0
559.0	961.0
560.0	954.0
561.0	993.0
562.0	986.0
563.0	992.0
564.0	979.0
565.0	968.0
566.0	940.0
567.0	947.0
568.0	893.0
569.0	963.0
570.0	892.0
571.0	922.0
572.0	897.0
573.0	930.0
574.0	1005.0
575.0	919.0
576.0	878.0
577.0	872.0
578.0	888.0
579.0	857.0
580.0	861.0
581.0	903.0
582.0	858.0
583.0	841.0
584.0	914.0
585.0	892.0
586.0	797.0
587.0	822.0
588.0	819.0
589.0	782.0
590.0	809.0
591.0	760.0
592.0	806.0
593.0	738.0
594.0	745.0
595.0	824.0
596.0	786.0
597.0	780.0
598.0	756.0
599.0	740.0
600.0	755.0
601.0	724.0
602.0	683.0
603.0	751.0
604.0	729.0
605.0	751.0
606.0	749.0
607.0	724.0
608.0	755.0
609.0	656.0
610.0	736.0
611.0	686.0
612.0	731.0
613.0	671.0
614.0	671.0
615.0	685.0
616.0	701.0
617.0	687.0
618.0	690.0
619.0	632.0
620.0	651.0
621.0	590.0
622.0	638.0
623.0	653.0
624.0	637.0
625.0	633.0
626.0	617.0
627.0	693.0
628.0	623.0
629.0	631.0
630.0	635.0
631.0	569.0
632.0	620.0
633.0	559.0
634.0	597.0
635.0	590.0
636.0	557.0
637.0	537.0
638.0	569.0
639.0	555.0
640.0	555.0
641.0	490.0
642.0	540.0
643.0	520.0
644.0	574.0
645.0	555.0
646.0	483.0
647.0	556.0
648.0	501.0
649.0	518.0
650.0	512.0
651.0	506.0
652.0	532.0
653.0	542.0
654.0	468.0
655.0	475.0
656.0	483.0
657.0	512.0
658.0	449.0
659.0	486.0
660.0	480.0
661.0	459.0
662.0	447.0
663.0	459.0
664.0	461.0
665.0	451.0
666.0	425.0
667.0	443.0
668.0	482.0
669.0	442.0
670.0	449.0
671.0	416.0
672.0	429.0
673.0	415.0
674.0	413.0
675.0	396.0
676.0	461.0
677.0	396.0
678.0	443.0
679.0	392.0
680.0	426.0
681.0	438.0
682.0	394.0
683.0	416.0
684.0	398.0
685.0	399.0
686.0	394.0
687.0	363.0
688.0	348.0
689.0	370.0
690.0	346.0
691.0	375.0
692.0	360.0
693.0	363.0
694.0	377.0
695.0	342.0
696.0	369.0
697.0	307.0
698.0	382.0
699.0	348.0
700.0	361.0
701.0	354.0
702.0	333.0
703.0	362.0
704.0	337.0
705.0	330.0
706.0	320.0
707.0	344.0
708.0	334.0
709.0	311.0
710.0	280.0
711.0	311.0
712.0	280.0
713.0	314.0
714.0	284.0
715.0	322.0
716.0	271.0
717.0	279.0
718.0	250.0
719.0	311.0
720.0	268.0
721.0	302.0
722.0	275.0
723.0	285.0
724.0	251.0
725.0	272.0
726.0	274.0
727.0	267.0
728.0	224.0
729.0	258.0
730.0	242.0
731.0	247.0
732.0	281.0
733.0	225.0
734.0	233.0
735.0	250.0
736.0	240.0
737.0	229.0
738.0	212.0
739.0	251.0
740.0	217.0
741.0	265.0
742.0	236.0
743.0	217.0
744.0	233.0
745.0	199.0
746.0	209.0
747.0	212.0
748.0	222.0
749.0	180.0
750.0	210.0
751.0	228.0
752.0	199.0
753.0	175.0
754.0	212.0
755.0	205.0
756.0	202.0
757.0	188.0
758.0	204.0
759.0	201.0
760.0	161.0
761.0	178.0
762.0	180.0
763.0	160.0
764.0	165.0
765.0	197.0
766.0	187.0
767.0	200.0
768.0	170.0
769.0	156.0
770.0	166.0
771.0	152.0
772.0	175.0
773.0	155.0
774.0	152.0
775.0	147.0
776.0	167.0
777.0	163.0
778.0	141.0
779.0	164.0
780.0	134.0
781.0	156.0
782.0	115.0
783.0	155.0
784.0	145.0
785.0	141.0
786.0	161.0
787.0	148.0
788.0	140.0
789.0	125.0
790.0	144.0
791.0	150.0
792.0	127.0
793.0	129.0
794.0	100.0
795.0	101.0
796.0	120.0
797.0	109.0
798.0	99.0
799.0	108.0
800.0	93.0
801.0	105.0
802.0	96.0
803.0	113.0
804.0	108.0
805.0	100.0
806.0	114.0
807.0	103.0
808.0	103.0
809.0	78.0
810.0	112.0
811.0	105.0
812.0	108.0
813.0	89.0
814.0	84.0
815.0	87.0
816.0	98.0
817.0	83.0
818.0	92.0
819.0	94.0
820.0	71.0
821.0	80.0
822.0	95.0
823.0	89.0
824.0	79.0
825.0	66.0
826.0	84.0
827.0	75.0
828.0	60.0
829.0	72.0
830.0	75.0
831.0	78.0
832.0	70.0
833.0	68.0
834.0	69.0
835.0	62.0
836.0	52.0
837.0	76.0
838.0	82.0
839.0	54.0
840.0	57.0
841.0	67.0
842.0	62.0
843.0	79.0
844.0	55.0
845.0	61.0
846.0	50.0
847.0	58.0
848.0	68.0
849.0	50.0
850.0	65.0
851.0	55.0
852.0	47.0
853.0	38.0
854.0	39.0
855.0	56.0
856.0	40.0
857.0	43.0
858.0	58.0
859.0	56.0
860.0	46.0
861.0	35.0
862.0	31.0
863.0	46.0
864.0	46.0
865.0	34.0
866.0	44.0
867.0	34.0
868.0	48.0
869.0	26.0
870.0	31.0
871.0	42.0
872.0	39.0
873.0	37.0
874.0	37.0
875.0	39.0
876.0	30.0
877.0	28.0
878.0	28.0
879.0	36.0
880.0	29.0
881.0	29.0
882.0	30.0
883.0	31.0
884.0	32.0
885.0	34.0
886.0	38.0
887.0	28.0
888.0	23.0
889.0	30.0
890.0	35.0
891.0	21.0
892.0	24.0
893.0	21.0
894.0	23.0
895.0	31.0
896.0	22.0
897.0	29.0
898.0	29.0
899.0	21.0
900.0	24.0
901.0	19.0
902.0	26.0
903.0	26.0
904.0	19.0
905.0	24.0
906.0	23.0
907.0	28.0
908.0	16.0
909.0	21.0
910.0	10.0
911.0	28.0
912.0	22.0
913.0	14.0
914.0	15.0
915.0	21.0
916.0	15.0
917.0	11.0
918.0	16.0
919.0	9.0
920.0	12.0
921.0	11.0
922.0	9.0
923.0	15.0
924.0	15.0
925.0	21.0
926.0	21.0
927.0	18.0
928.0	17.0
929.0	7.0
930.0	20.0
931.0	11.0
932.0	11.0
933.0	16.0
934.0	11.0
