#Position (bp)	insert size
6876.0	2009.50129617628
20627.0	358.7868796736914
34378.0	356.75730180806676
48129.0	355.0299059139785
61880.0	371.7648272305312
75631.0	367.24058512293806
89382.0	366.54570541566056
103133.0	1045.3180619644033
116884.0	8534.34974533107
130635.0	363.2351067218859
144386.0	352.2702243371856
158137.0	359.0823605706874
171888.0	363.78500331785006
185639.0	367.906239460371
199390.0	1013.4718526100307
213141.0	362.26827562084645
226892.0	361.7887276409045
240643.0	357.2237067488866
254394.0	364.7766565758493
268145.0	350.7267987486966
281896.0	1072.3946260925866
295647.0	34009.54336989033
309398.0	361.293551834699
323149.0	367.9843472073995
336900.0	363.4569802477402
350651.0	359.66249577274266
364402.0	368.31148109608046
378153.0	371.3001675041876
391904.0	682.0408645727795
405655.0	363.33126934984523
419406.0	728.0156146179402
433157.0	367.06240768094534
446908.0	363.7173285198556
460659.0	366.2718481375358
474410.0	354.5788897005113
488161.0	358.7712240027276
501912.0	361.55722582849336
515663.0	366.5962576466355
529414.0	367.3557923685115
543165.0	1330.7441465897523
556916.0	1677.0271719699679
570667.0	365.57522123893807
584418.0	383.8495072024261
598169.0	372.11253801960123
611920.0	367.5319829424307
625671.0	364.2754172989378
639422.0	360.89437134502924
653173.0	363.0
666924.0	1845.2994448299792
680675.0	370.99165217391305
694426.0	366.35921650926895
708177.0	360.3502882332994
721928.0	1515.0621669626998
735679.0	369.1338524286244
749430.0	362.8709070380128
763181.0	3256.866204885162
776932.0	375.20982839313575
790683.0	378.4448198198198
804434.0	383.6663516068053
818185.0	367.09895052473763
831936.0	363.5650684931507
845687.0	362.54423868312756
859438.0	364.7621540762902
873189.0	364.75992509363294
886940.0	398.0828809265291
900691.0	356.4932075471698
914442.0	1299.2781926811053
928193.0	359.6445022288261
941944.0	377.46112185686655
955695.0	1703.7305660377358
969446.0	368.334940652819
983197.0	358.4284621270084
996948.0	358.4011605415861
1010699.0	366.4132999642474
1024450.0	363.70037037037036
1038201.0	361.4136996904025
1051952.0	361.09132906894104
1065703.0	368.111030478955
1079454.0	829.0444282592862
1093205.0	3618.4725787631273
1106956.0	369.6211835657746
1120707.0	368.6450351837373
1134458.0	358.8917076864824
1148209.0	367.09388065374384
1161960.0	1605.6352339181287
1175711.0	364.36074692093763
1189462.0	361.2987567987568
1203213.0	356.6453686200378
1216964.0	367.4341172079134
1230715.0	358.9364322606277
1244466.0	371.2313003452244
1258217.0	362.6595425571804
1271968.0	366.5981343283582
1285719.0	365.05253422123565
1299470.0	364.2767369242779
1313221.0	365.1583924349882
1326972.0	364.41742424242426
1340723.0	359.02933531377647
1354474.0	358.79250185597624
1368225.0	357.27299377061195
1381976.0	362.7943820224719
1395727.0	366.06587272050615
1409478.0	361.6227786752827
1423229.0	366.5312843029638
1436980.0	367.65281450698905
