#Read position (bp)	Clipping profile
0.0	6.14212091025012
1.0	1.3864668936557059
2.0	1.3475969677209692
3.0	1.2826013538628847
4.0	1.2023480550522763
5.0	1.1154040312856883
6.0	1.0923582008817596
7.0	1.05950638734129
8.0	1.0230791070254028
9.0	0.9879262505106545
10.0	0.9533752052353329
11.0	0.9333030303673951
12.0	0.9085933688897574
13.0	0.8821844756772678
14.0	0.8541471520522117
15.0	0.8271718482614382
16.0	0.8125513752094834
17.0	0.7941784320763975
18.0	0.7749912737370284
19.0	0.7583529629999369
20.0	0.740971238378848
21.0	0.7259967587154658
22.0	0.7115886896303676
23.0	0.6955167894715601
24.0	0.6799404985687513
25.0	0.6674440651853614
26.0	0.6579566879991051
27.0	0.6484693108128488
28.0	0.6350170595786047
29.0	0.6189097587586545
30.0	0.8083386965334964
31.0	0.7483345758965395
32.0	0.7038713455012485
33.0	0.7247577355754696
34.0	0.7170757921074934
35.0	0.6858170083184474
36.0	0.6434424169305786
37.0	0.6901004883167198
38.0	0.629494556440336
39.0	0.6109446100015364
40.0	0.6455310559380008
41.0	0.6251756757809208
42.0	0.6101657954563959
43.0	0.5374882381303353
44.0	0.5909078357947413
45.0	0.5761457600982156
46.0	0.5679328067130981
47.0	0.5832966936490506
48.0	0.5825886804261956
49.0	0.5283548675555065
50.0	0.5661627736559608
51.0	0.5694904358033791
52.0	0.5501616748194389
53.0	0.5277884569772225
54.0	0.5008131531864489
55.0	0.4943348321973261
56.0	0.5209915300378151
57.0	0.5465154067217359
58.0	0.446119131720904
59.0	0.5826948824096239
60.0	0.4974500903778879
61.0	0.4534470685774528
62.0	0.5844649154667613
63.0	0.4432870788294842
64.0	0.4542966844448787
65.0	0.4634654556808503
66.0	0.5006007492195924
67.0	0.4473227541997574
68.0	0.4519602408094574
69.0	0.46573109799398615
70.0	0.48378543517678735
71.0	0.45971298559971907
72.0	0.4451279132089071
73.0	0.44955299585175057
74.0	0.4292684170169562
75.0	0.4322066718918043
76.0	0.4173383942118503
77.0	0.41284251024672136
78.0	0.40140809669761396
79.0	0.40714300380273905
80.0	0.41539135784899917
81.0	0.40413394760560545
82.0	0.40055848083018797
83.0	0.41634717569985336
84.0	0.41486034793185794
85.0	0.43684415850150415
86.0	0.42406451982897236
87.0	0.42707357602610585
88.0	0.42445392710154256
89.0	0.4358175393283645
90.0	0.4371981651129317
91.0	0.4374459697409309
92.0	0.43479092015522486
93.0	0.43957000940949575
94.0	0.43857879089749874
95.0	0.4418002510614888
96.0	0.44594212841519026
97.0	0.449623797174036
98.0	0.4528806579991688
99.0	0.4584385617985801
100.0	0.4632176510528511
101.0	0.46835074691854944
102.0	0.47210321699968066
103.0	0.47468746526310124
104.0	0.4762450943533821
105.0	0.47890014393908825
106.0	0.48286501798707593
107.0	0.48799811385277436
108.0	0.49479504079218184
109.0	0.5010609578144481
110.0	0.5073976761589999
111.0	0.513557391197838
112.0	0.5188674903692501
113.0	0.5257352186309431
114.0	0.5313285230914973
115.0	0.5353995991229132
116.0	0.5458427941600237
117.0	0.551825505893148
118.0	0.55996765795598
119.0	0.5677912040685272
120.0	0.5764997667096431
121.0	0.5842879121610475
122.0	0.5939876933141603
123.0	0.5992269911632869
124.0	0.6078293518209746
125.0	0.6162901098340913
126.0	0.6271935134660575
127.0	0.6368578939580275
128.0	0.6455664565991435
129.0	0.6552308370911135
130.0	0.6661696413842225
131.0	0.680259104519036
132.0	0.6935343524475663
133.0	0.7061369878143845
134.0	0.7197308416931995
135.0	0.7342097121005832
136.0	0.7480867712685403
137.0	0.7653268932450582
138.0	0.7810801874535809
139.0	0.7982849087689562
140.0	0.8140382029774789
141.0	0.8320571394991374
142.0	0.8457925960225232
143.0	0.8592448472567673
144.0	0.873157307085867
145.0	0.8896186145172448
146.0	0.9060445212874796
147.0	0.8861493497252555
148.0	0.8185340869426078
149.0	0.6111216133072501
150.0	0.2993833912842156
