#Read position (bp)	Clipping profile
0.0	7.491051437840883
1.0	1.310459119384855
2.0	1.2772983086097767
3.0	1.2202045123526044
4.0	1.14886424897644
5.0	1.0731259285161927
6.0	1.0529704153762551
7.0	1.023344239435624
8.0	0.991937255105119
9.0	0.9604763068840116
10.0	0.9292312142253133
11.0	0.9091566469212791
12.0	0.8870584337196609
13.0	0.8614525676288967
14.0	0.8360085932099396
15.0	0.8105646187909823
16.0	0.7952928377505476
17.0	0.7783751580467446
18.0	0.7588941935393351
19.0	0.7441080875143207
20.0	0.727918920333648
21.0	0.7154802435498311
22.0	0.7004513000171065
23.0	0.6850985731407686
24.0	0.6705822865687654
25.0	0.6575230250430227
26.0	0.6485380372577494
27.0	0.6399847605972939
28.0	0.6244701420491492
29.0	0.6116537180311166
30.0	0.7755150718448257
31.0	0.7765403857662684
32.0	0.7579498254537959
33.0	0.6872301468195572
34.0	0.7091934502946698
35.0	0.7025558917505941
36.0	0.6928963553327926
37.0	0.6915472580677365
38.0	0.6648890961102288
39.0	0.6404974175580151
40.0	0.663593962735775
41.0	0.6104125485472651
42.0	0.6545010471692971
43.0	0.5945471647102059
44.0	0.6168882154195342
45.0	0.5902840173526287
46.0	0.5917410423988892
47.0	0.5620069386770536
48.0	0.6267636073997446
49.0	0.5647051332071658
50.0	0.5407721477250713
51.0	0.5352138669930403
52.0	0.5988103120677829
53.0	0.5548567231722565
54.0	0.5177295664379137
55.0	0.5168391622429767
56.0	0.5268224820043915
57.0	0.5590389246939302
58.0	0.47296651918335364
59.0	0.5586072135691124
60.0	0.508663632816737
61.0	0.5026196770692859
62.0	0.6428718287445139
63.0	0.5126029968307008
64.0	0.4897762711059522
65.0	0.4756647137134658
66.0	0.47126665662938305
67.0	0.4735601219799783
68.0	0.4705651260515539
69.0	0.431846034544445
70.0	0.47472034562792653
71.0	0.4555631644641305
72.0	0.4458226822104257
73.0	0.4433403432427226
74.0	0.47741854015803864
75.0	0.4406691306579115
76.0	0.4257750968516927
77.0	0.4406421487126105
78.0	0.39944071823779836
79.0	0.41295867283366006
80.0	0.41058426164716144
81.0	0.395798155622147
82.0	0.3923444666236035
83.0	0.4051069267510339
84.0	0.41376813119269373
85.0	0.42831139970999804
86.0	0.4218087508924278
87.0	0.4180312785502709
88.0	0.41468551733293185
89.0	0.4206485272444796
90.0	0.4240482523524209
91.0	0.4303620275528833
92.0	0.4272860857885554
93.0	0.43017315393577543
94.0	0.4333030595907055
95.0	0.43670278469864676
96.0	0.43869944865092975
97.0	0.4413976431810418
98.0	0.4451751155231988
99.0	0.45013979345860505
100.0	0.45432199498027886
101.0	0.45963743820459974
102.0	0.46209279522700186
103.0	0.4658163036785565
104.0	0.46916206489589557
105.0	0.4719681872072122
106.0	0.4780121429546634
107.0	0.4831117306165752
108.0	0.490181000285469
109.0	0.49449811153364837
110.0	0.4996246811408614
111.0	0.5052908896540969
112.0	0.5106333148237189
113.0	0.5163804691728576
114.0	0.5209943818193494
115.0	0.5242861791460862
116.0	0.532704546080036
117.0	0.5395579601865208
118.0	0.5466002479101134
119.0	0.5528060953293713
120.0	0.5609006789197076
121.0	0.5693190458536574
122.0	0.5782230878030274
123.0	0.5835924949179506
124.0	0.5912553673834691
125.0	0.5989452217942887
126.0	0.6089015596104023
127.0	0.619289608551334
128.0	0.6265207698920344
129.0	0.633347202053218
130.0	0.6405243995033163
131.0	0.6518298345844861
132.0	0.6644034210948087
133.0	0.6751961992152571
134.0	0.6878777135067841
135.0	0.6999386430563853
136.0	0.7135915073787527
137.0	0.7280538300601536
138.0	0.7419765138355321
139.0	0.7566277101340408
140.0	0.7708741772530329
141.0	0.7848508249190136
142.0	0.8013637754433
143.0	0.8145039828049458
144.0	0.8257554539955134
145.0	0.8381941307793304
146.0	0.8480425408142397
147.0	0.8245952303475652
148.0	0.7603782005308968
149.0	0.5719093126025652
150.0	0.2798837186085303
