#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	4.827419744146753E-5
37.0	9.654839488293506E-5
38.0	4.344677769732078E-4
39.0	5.310161718561429E-4
40.0	7.723871590634805E-4
41.0	6.758387641805455E-4
42.0	7.24112961622013E-4
43.0	8.20661356504948E-4
44.0	0.0012068549360366883
45.0	0.0023654356746319093
46.0	0.005213613323678494
47.0	0.005792903692976104
48.0	0.008158339367608014
49.0	0.008544532947139753
50.0	0.010282404055032585
51.0	0.01409606565290852
52.0	0.01646150132754043
53.0	0.021482017861453054
54.0	0.027709389331402365
55.0	0.03326092203717113
56.0	0.04083997103548154
57.0	0.04479845522568187
58.0	0.05266714940864109
59.0	0.055901520637219405
60.0	0.05797731112720251
61.0	0.0629012792662322
62.0	0.06618392469225198
63.0	0.07081824764663289
64.0	0.06488052136133236
65.0	0.06256335988414194
66.0	0.05112237509051412
67.0	0.04281921313058171
68.0	0.03490224475018103
69.0	0.03142650253439536
70.0	0.02375090514120203
71.0	0.018102824040550327
72.0	0.018054549843108857
73.0	0.012696113927105962
74.0	0.009268645908761768
75.0	0.008158339367608014
76.0	0.004634322954380884
77.0	0.0030412744388124547
78.0	0.0018826937002172338
79.0	9.172097513878831E-4
80.0	7.723871590634805E-4
81.0	1.448225923244026E-4
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	4.827419744146753E-5
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	4.827419744146753E-5
