#Position (bp)	insert size
94.0	281.6240875912409
281.0	345.8867595818815
468.0	342.34057971014494
655.0	326.5793528505393
842.0	308.6086065573771
1029.0	276.92693110647184
1216.0	489.48736462093865
1403.0	338.96634615384613
1590.0	352.5181347150259
1777.0	337.35907335907336
1964.0	342.51633986928107
2151.0	351.3283018867925
2338.0	328.7083333333333
2525.0	329.6318407960199
2712.0	311.78333333333336
2899.0	312.8703703703704
3086.0	285.2122015915119
3273.0	259.6279569892473
3460.0	264.40363636363634
3647.0	342.32286995515693
3834.0	314.90717299578057
4021.0	331.34343434343435
4208.0	334.16170212765957
4395.0	339.352422907489
4582.0	327.83490566037733
4769.0	347.3728813559322
4956.0	344.7261904761905
5143.0	345.5892857142857
5330.0	347.5020080321285
5517.0	335.6436170212766
5704.0	341.4251968503937
5891.0	357.8728323699422
6078.0	339.06542056074767
6265.0	329.5149700598802
6452.0	336.45365853658535
6639.0	342.6585365853659
6826.0	353.3938053097345
7013.0	345.8434782608696
7200.0	337.34466019417476
7387.0	319.0858208955224
7574.0	335.72727272727275
7761.0	329.20197044334975
7948.0	339.72850678733033
8135.0	351.61421319796955
8322.0	329.8325991189427
8509.0	329.1329479768786
8696.0	336.3019801980198
8883.0	347.69953051643193
9070.0	343.780487804878
9257.0	355.9259259259259
9444.0	295.4047619047619
9631.0	0.0
9818.0	0.0
10005.0	674.0
10192.0	530.55
10379.0	380.896
10566.0	320.66319444444446
10753.0	327.95454545454544
10940.0	337.4867724867725
11127.0	333.6991150442478
11314.0	334.09448818897636
11501.0	335.2717948717949
11688.0	348.30434782608694
11875.0	323.0883720930233
12062.0	336.3222748815166
12249.0	328.2018779342723
12436.0	340.80434782608694
12623.0	341.48765432098764
12810.0	350.7475247524753
12997.0	338.42028985507244
13184.0	344.4318181818182
13371.0	346.485
13558.0	346.82464454976304
13745.0	332.9259259259259
13932.0	337.31739130434784
14119.0	340.76851851851853
14306.0	328.98623853211006
14493.0	321.39344262295083
14680.0	352.852
14867.0	330.6334841628959
15054.0	331.7956989247312
15241.0	347.85929648241205
15428.0	345.2350427350427
15615.0	339.415
15802.0	341.2844827586207
15989.0	333.70168067226894
16176.0	342.65193370165747
16363.0	344.2513368983957
16550.0	355.8046875
16737.0	347.13194444444446
16924.0	328.41764705882355
17111.0	349.2603305785124
17298.0	356.745
17485.0	356.95473251028807
17672.0	353.1578947368421
17859.0	332.725
18046.0	358.09452736318406
18233.0	333.03225806451616
18420.0	336.0734693877551
18607.0	347.0841121495327
18794.0	335.3080357142857
18981.0	348.66511627906976
19168.0	331.4574468085106
19355.0	322.1658767772512
19542.0	368.0590909090909
19729.0	359.64529914529913
19916.0	341.15
20103.0	340.6487603305785
20290.0	335.0
20477.0	330.27322404371586
20664.0	333.3529411764706
20851.0	331.2307692307692
21038.0	320.4354066985646
21225.0	343.3920704845815
21412.0	345.9756097560976
21599.0	331.43646408839777
21786.0	357.29644268774706
21973.0	349.3873873873874
22160.0	322.3464912280702
22347.0	318.7683615819209
22534.0	358.02312138728325
22721.0	329.40562248995985
22908.0	333.68811881188117
23095.0	355.71264367816093
23282.0	327.28155339805824
23469.0	327.1989247311828
23656.0	0.0
23843.0	0.0
24030.0	653.6
24217.0	463.20588235294116
24404.0	364.23297491039426
24591.0	293.8389423076923
24778.0	0.0
24965.0	0.0
25152.0	650.2857142857143
25339.0	490.3370786516854
25526.0	335.69407894736844
25713.0	316.8611111111111
25900.0	324.22429906542055
26087.0	325.75471698113205
26274.0	338.3670212765957
26461.0	334.69767441860466
26648.0	360.6990291262136
26835.0	338.324
27022.0	340.7201646090535
27209.0	330.54901960784315
27396.0	330.3990147783251
27583.0	331.21276595744683
27770.0	325.037558685446
27957.0	336.9081081081081
28144.0	348.2197802197802
28331.0	320.43030303030304
28518.0	347.2530612244898
28705.0	305.12068965517244
28892.0	348.35023041474653
29079.0	361.7873303167421
29266.0	337.18721461187215
29453.0	364.14285714285717
29640.0	345.8279569892473
29827.0	331.78723404255317
30014.0	339.9852941176471
30201.0	353.37068965517244
30388.0	346.0966183574879
30575.0	359.88495575221236
30762.0	331.42105263157896
30949.0	350.24528301886795
31136.0	345.3347107438017
31323.0	357.35643564356434
31510.0	345.2328767123288
31697.0	329.1229946524064
31884.0	334.46586345381525
32071.0	331.9406779661017
32258.0	330.5093457943925
32445.0	346.1111111111111
32632.0	335.16309012875536
32819.0	364.3607305936073
33006.0	351.58947368421053
33193.0	331.38532110091745
33380.0	342.0100502512563
33567.0	354.0892857142857
33754.0	351.87068965517244
33941.0	337.6592920353982
34128.0	336.78008298755185
34315.0	330.184331797235
34502.0	352.83478260869566
34689.0	342.48017621145374
34876.0	347.53648068669526
35063.0	339.0439024390244
35250.0	340.6532663316583
35437.0	340.05381165919283
35624.0	327.3963133640553
35811.0	332.0054347826087
35998.0	351.4932735426009
36185.0	324.36842105263156
36372.0	331.1447963800905
36559.0	341.58479532163744
36746.0	328.54883720930235
36933.0	331.3157894736842
37120.0	330.5695067264574
37307.0	315.130890052356
37494.0	349.87111111111113
37681.0	335.2311320754717
37868.0	327.264367816092
38055.0	334.6244131455399
38242.0	318.09473684210525
38429.0	333.76262626262627
38616.0	315.6928571428571
38803.0	340.9148936170213
38990.0	325.44761904761907
39177.0	339.3127962085308
39364.0	345.3787878787879
39551.0	367.20258620689657
39738.0	324.93333333333334
39925.0	337.9513513513514
40112.0	326.4732510288066
40299.0	326.97333333333336
40486.0	337.64179104477614
40673.0	324.9137254901961
40860.0	332.4626168224299
41047.0	328.56944444444446
41234.0	339.7225806451613
41421.0	330.06363636363636
41608.0	334.0576923076923
41795.0	328.8686868686869
41982.0	335.914798206278
42169.0	323.52358490566036
42356.0	343.0892857142857
42543.0	331.030487804878
42730.0	353.56
42917.0	333.7877358490566
43104.0	329.2434456928839
43291.0	328.7875
43478.0	342.5251141552511
43665.0	316.7970297029703
43852.0	317.812865497076
44039.0	332.79904306220095
44226.0	360.0042372881356
44413.0	330.62389380530976
44600.0	333.6333333333333
44787.0	339.8902953586498
44974.0	338.3776595744681
45161.0	329.79347826086956
45348.0	330.0837004405286
45535.0	340.16243654822335
45722.0	346.917695473251
45909.0	337.1111111111111
46096.0	351.42487046632124
46283.0	333.16042780748666
46470.0	319.6038647342995
46657.0	352.75126903553297
46844.0	333.91101694915255
47031.0	341.3649289099526
47218.0	336.9178743961353
47405.0	323.7692307692308
47592.0	335.89166666666665
47779.0	345.633064516129
47966.0	314.94179894179894
48153.0	334.18947368421055
48340.0	315.7484662576687
48527.0	322.8230452674897
48714.0	321.521327014218
48901.0	345.58910891089107
49088.0	342.8475609756098
49275.0	340.9789029535865
49462.0	341.95575221238937
49649.0	348.8515283842795
49836.0	345.56224899598396
50023.0	336.5916230366492
50210.0	360.2151898734177
50397.0	350.15384615384613
50584.0	339.79295154185024
50771.0	345.5238095238095
50958.0	0.0
51145.0	680.25
51332.0	509.54545454545456
51519.0	382.2911392405063
51706.0	320.6516393442623
51893.0	317.75
52080.0	310.7763157894737
52267.0	305.0253164556962
52454.0	347.1275167785235
52641.0	348.7269230769231
52828.0	350.4612676056338
53015.0	336.30379746835445
53202.0	343.9
53389.0	326.70526315789476
53576.0	333.1617647058824
53763.0	349.2261904761905
53950.0	332.0572916666667
54137.0	336.98930481283423
54324.0	358.86854460093895
