#Coverage (X)	Coverage
1.0	92.21131511236715
2.0	92.14791723331437
3.0	92.09182820065656
4.0	92.04812057196632
5.0	92.00499474199408
6.0	91.96294160340818
7.0	91.92559739819613
8.0	91.89032585091698
9.0	91.85790875359805
10.0	91.82563710595863
11.0	91.79334727710928
12.0	91.76062109922141
13.0	91.72680404873728
14.0	91.69622325362205
15.0	91.66700604925217
16.0	91.63411624047487
17.0	91.59891741803547
18.0	91.5663366898271
19.0	91.53082878681876
20.0	91.49148464851358
21.0	91.44344989185817
22.0	91.38710632226122
23.0	91.32123579865691
24.0	91.24574741499556
25.0	91.14718707592327
26.0	91.01668235099044
27.0	90.85012428675113
28.0	90.63645870756324
29.0	90.36779496831379
30.0	90.03795145762396
31.0	89.6281469856281
32.0	89.11336420745197
33.0	88.47767638319009
34.0	87.71573823712079
35.0	86.82053182220812
36.0	85.77263960623863
37.0	84.54471704946597
38.0	83.12236463361953
39.0	81.50870952680856
40.0	79.69660651352754
41.0	77.6873100972622
42.0	75.49951056182847
43.0	73.08831849989018
44.0	70.50325952731762
45.0	67.76416934415285
46.0	64.92515523117044
47.0	61.933328048661636
48.0	58.83826795612655
49.0	55.682464441189595
50.0	52.45240886486706
51.0	49.22775310789602
