#Read position (bp)	Clipping profile
0.0	2.8280898014408957
1.0	0.9778007155660016
2.0	0.9607136131898483
3.0	0.9331650195629886
4.0	0.9021292621858937
5.0	0.872488370308893
6.0	0.8557499843077632
7.0	0.8386628819316098
8.0	0.8222732123055034
9.0	0.8079758409295383
10.0	0.7926323204285027
11.0	0.7783349490525375
12.0	0.7710119051770433
13.0	0.7598529811762901
14.0	0.7431145951751602
15.0	0.7235864781738421
16.0	0.7138224196731829
17.0	0.700222481047265
18.0	0.6813917967959939
19.0	0.6723251710453819
20.0	0.6622123961696993
21.0	0.6573303669193697
22.0	0.6517509049189932
23.0	0.6367561007929811
24.0	0.6290843405424632
25.0	0.6210638639169218
26.0	0.6193202820418041
27.0	0.6112998054162627
28.0	0.599792165040486
29.0	0.5917716884149447
30.0	0.5928178375400152
31.0	0.5910742556648976
32.0	0.7096378231729006
33.0	0.5834024954143797
34.0	0.5753820187888382
35.0	0.5736384369137206
36.0	0.5711974222885557
37.0	0.6876686915464176
38.0	0.5645718111631085
39.0	0.5624795129129673
40.0	0.7113814050480182
41.0	0.6695354400451936
42.0	0.5645718111631085
43.0	0.5628282292879909
44.0	0.5516693052872377
45.0	0.5530641707873318
46.0	0.5488795742870494
47.0	0.5471359924119317
48.0	0.5474847087869552
49.0	0.5464385596618846
50.0	0.5446949777867669
51.0	0.5446949777867669
52.0	0.5464385596618846
53.0	0.5492282906620729
54.0	0.5495770070370964
55.0	0.5464385596618846
56.0	0.5450436941617904
57.0	0.545392410536814
58.0	0.5492282906620729
59.0	0.5541103199124024
60.0	0.5562026181625437
61.0	0.5527154544123083
62.0	0.5464385596618846
63.0	0.5509718725371906
64.0	0.5565513345375672
65.0	0.5593410655377555
66.0	0.5645718111631085
67.0	0.5743358696637677
68.0	0.5907255392898739
69.0	0.5750333024138148
70.0	0.5767768842889325
71.0	0.5764281679139089
72.0	0.5711974222885557
73.0	0.5711974222885557
74.0	0.568058974913344
75.0	0.5645718111631085
76.0	0.5617820801629203
77.0	0.585494793664521
78.0	0.5645718111631085
79.0	0.5600384982878026
80.0	0.5617820801629203
81.0	0.5610846474128732
82.0	0.5645718111631085
83.0	0.5694538404134382
84.0	0.5691051240384146
85.0	0.5736384369137206
86.0	0.577125600663956
87.0	0.577125600663956
88.0	0.5781717497890266
89.0	0.5778230334140031
90.0	0.5823563462893091
91.0	0.5837512117894031
92.0	0.5858435100395444
93.0	0.5851460772894974
94.0	0.5868896591646151
95.0	0.5942127030401093
96.0	0.6011870305405801
97.0	0.5994434486654624
98.0	0.6022331796656508
99.0	0.6015357469156036
100.0	0.6064177761659333
101.0	0.6130433872913804
102.0	0.6130433872913804
103.0	0.6168792674166393
104.0	0.6151356855415216
105.0	0.6193202820418041
106.0	0.623156162167063
107.0	0.6294330569174867
108.0	0.6297817732925103
109.0	0.6332689370427457
110.0	0.6367561007929811
111.0	0.6371048171680046
112.0	0.6378022499180517
113.0	0.6437304282934518
114.0	0.6346638025428398
115.0	0.6378022499180517
116.0	0.6388483990431223
117.0	0.645125293793546
118.0	0.6493098902938285
119.0	0.6514021885439697
120.0	0.6538432031691345
121.0	0.6604688142945817
122.0	0.6636072616697934
123.0	0.6691867236701702
124.0	0.673022603795429
125.0	0.6747661856705467
126.0	0.6779046330457585
127.0	0.6855763932962764
128.0	0.6890635570465118
129.0	0.6935968699218178
130.0	0.700222481047265
131.0	0.7078942412977829
132.0	0.7173095834234184
133.0	0.7263762091740303
134.0	0.7354428349246424
135.0	0.7445094606752545
136.0	0.7532273700508428
137.0	0.7678734578018315
138.0	0.7818221128027729
139.0	0.7912374549284085
140.0	0.8023963789291617
141.0	0.8180886158052211
142.0	0.8299449725560213
143.0	0.8428474784318922
144.0	0.854355118807669
145.0	0.8714422211838223
146.0	0.8871344580598816
147.0	0.8745806685590342
148.0	0.8288988234309507
149.0	0.6740687529204996
150.0	0.27234748889338345
