#Read position (bp)	Clipping profile
0.0	3.084510769454289
1.0	0.8998327461286868
2.0	0.8866011834032963
3.0	0.8699968693949629
4.0	0.8523547857611089
5.0	0.823816121059286
6.0	0.812400655178557
7.0	0.8002068620786871
8.0	0.7877536265724372
9.0	0.7725330053981316
10.0	0.7582636730472202
11.0	0.7474535727813783
12.0	0.7374217997346769
13.0	0.7258333722496944
14.0	0.7126018095243037
15.0	0.7015322668520815
16.0	0.6912410513989999
17.0	0.6815552015608055
18.0	0.6729071213481319
19.0	0.6621835018844167
20.0	0.6504221127951806
21.0	0.6444549374484358
22.0	0.6383148004974376
23.0	0.6281100658464828
24.0	0.6211051208742171
25.0	0.6117651942445296
26.0	0.604760249272264
27.0	0.5978417851021252
28.0	0.5931718217872815
29.0	0.5860803960128891
30.0	0.6527570944526025
31.0	0.6267263730124549
32.0	0.8237296402571594
33.0	0.6074411541381929
34.0	0.588069454461804
35.0	0.5923934945681408
36.0	0.715109752785979
37.0	0.7592149618706143
38.0	0.7228065441752586
39.0	0.5558985960706583
40.0	0.6180782927997814
41.0	0.5915286865468734
42.0	0.6030306332297293
43.0	0.5348837611538615
44.0	0.5878964928575505
45.0	0.5476829198686184
46.0	0.5095448861307279
47.0	0.5201820247923163
48.0	0.5316839714751722
49.0	0.5199225823859361
50.0	0.5115339445796427
51.0	0.525543834524174
52.0	0.534364876341101
53.0	0.5175011199263876
54.0	0.504269557200997
55.0	0.51213931019453
56.0	0.5143013302476983
57.0	0.5048749228158841
58.0	0.50392363399249
59.0	0.5432723989601549
60.0	0.5040101147946168
61.0	0.507555827681813
62.0	0.5091124821200941
63.0	0.506863981264799
64.0	0.5053073268265178
65.0	0.5001184786989136
66.0	0.5002049595010404
67.0	0.5178470431348945
68.0	0.5535636144132364
69.0	0.5274464121709622
70.0	0.5070369428690524
71.0	0.5136094838306844
72.0	0.5166363119051202
73.0	0.5331541451113266
74.0	0.5414563021154933
75.0	0.5398131668750854
76.0	0.5226899680539917
77.0	0.5259762385348077
78.0	0.5459533038260836
79.0	0.5337595107262139
80.0	0.5353161651644951
81.0	0.5344513571432278
82.0	0.5356620883730021
83.0	0.5404185324899726
84.0	0.545174976606943
85.0	0.5494990167132798
86.0	0.5560715576749117
87.0	0.5558121152685315
88.0	0.5597037513642347
89.0	0.5649790802939656
90.0	0.5686977547854152
91.0	0.5716381020577241
92.0	0.5750973341427936
93.0	0.5811509902916652
94.0	0.5795943358533839
95.0	0.5858209536065089
96.0	0.5881559352639307
97.0	0.5928258985787745
98.0	0.5947284762255627
99.0	0.5985336315191391
100.0	0.6002632475616738
101.0	0.6041548836573769
102.0	0.6057115380956581
103.0	0.6059709805020383
104.0	0.6064898653147988
105.0	0.6121975982551634
106.0	0.6151379455274724
107.0	0.6196349472380627
108.0	0.6208456784678369
109.0	0.623786025740146
110.0	0.6301856050975244
111.0	0.63295299076558
112.0	0.638833685310198
113.0	0.6458386302824636
114.0	0.6480871311377587
115.0	0.6517193248270816
116.0	0.657167615361066
117.0	0.6614916554674029
118.0	0.6671129076056407
119.0	0.6743772949842864
120.0	0.6788742966948768
121.0	0.6840631448224809
122.0	0.6889925505437048
123.0	0.6953921299010832
124.0	0.7010133820393211
125.0	0.7058563069584184
126.0	0.7139855023583315
127.0	0.7198661969029495
128.0	0.7260063338539477
129.0	0.7332707212325935
130.0	0.7404486278091127
131.0	0.7472806111771247
132.0	0.7561016529940519
133.0	0.7650956564152325
134.0	0.7742626214406664
135.0	0.7829971824554668
136.0	0.7935478403149284
137.0	0.8044444213828972
138.0	0.815686925659373
139.0	0.8245944482784268
140.0	0.8368747221804232
141.0	0.8547762482206576
142.0	0.8694779845822027
143.0	0.883401393724607
144.0	0.8926548395521677
145.0	0.9040703054328969
146.0	0.9199827730242164
147.0	0.9301875076751712
148.0	0.9288902956432702
149.0	0.8639432132460915
150.0	0.6792202199033837
